"y","x1","x2","x3","x4","x5"
1,0,11,-0.804331599841126,0.593030882300809,0
1,1,14,-1.05652565415067,0.552883221535012,0
1,0,13,-1.0353957840774,0.596704040886834,0
1,0,11,-1.18556035360959,0.392630681628361,0
1,1,11,-0.500439511741913,0.260375924175605,1
1,0,11,-0.524988707075351,0.739883325062692,1
1,0,10,-0.302432956535184,0.0265068945009261,1
4,0,10,0.471968132369904,0.840838738717139,1
1,1,10,-0.248383948785693,0.850526852300391,1
1,1,11,1.25931802946436,0.135685091372579,0
2,0,11,0.350920964074789,0.388377577066422,0
1,0,12,0.863318545823537,0.856637699529529,0
2,0,11,-0.478911309028502,0.0793098488356918,1
1,0,13,-1.1884792183016,0.226611532503739,1
1,0,13,-0.268566373421907,0.765215481631458,1
1,1,13,-0.0802210555708808,0.335293173324317,0
1,1,14,-0.123235685516151,0.978874307358637,0
1,1,12,-0.0994398057065816,0.144622779451311,0
1,1,12,-0.834753978726521,0.767454721499234,0
2,0,11,1.85777954307455,0.961215612478554,1
1,0,11,-0.498397019562876,0.810340940253809,1
1,0,12,-1.2700546080224,0.974980511004105,0
1,0,12,-0.936943712445999,0.710400953656062,0
2,0,13,0.533439242475914,0.0044070677831769,1
1,0,12,-1.61676310542215,0.387982569169253,0
1,0,14,-0.317056639420384,0.240407043369487,0
1,1,12,-0.419763675349224,0.249946532072499,0
1,0,13,-0.180855824382444,0.326450580498204,0
1,0,9,0.801811211716828,0.237153514521196,1
2,1,12,-0.753917904486187,0.412619009148329,1
1,1,12,0.177774698937219,0.393377067521214,1
2,1,9,0.208342849029637,0.0835336381569505,1
1,0,11,0.803137224950544,0.622846234589815,0
1,1,10,-1.59508148652941,0.718677006894723,1
1,0,12,1.5995836568912,0.952521200291812,1
2,0,12,0.499270633184912,0.563419481739402,1
1,1,12,0.367614095478572,0.813873009756207,1
2,0,11,-0.410530161800342,0.389953621197492,1
1,1,11,0.927350419149043,0.154936410486698,0
1,1,9,0.864516079072593,0.924862411106005,0
3,1,14,0.722152286296597,0.636686919955537,1
1,1,11,0.271265553408576,0.241226314334199,1
1,0,9,0.314108145503145,0.785055864136666,0
1,1,10,0.755523748554818,0.481925328494981,0
1,1,9,-0.189159640661892,0.725143830059096,1
1,1,13,0.377242685670962,0.834804796380922,0
1,1,14,-0.408232945062733,0.995458911871538,1
1,1,12,-0.266092109068576,0.470007702941075,0
1,0,12,0.0862651571264727,0.216025119880214,0
1,0,10,-0.198512697126922,0.999514854047447,0
1,1,11,0.561087730424937,0.644531038589776,1
